time,download,upload,ping
00:00,3.0,0.55,60.88
01:00,4.88,0.47,39.84
02:00,5.14,0.55,41.82
03:00,5.5,0.49,40.4
04:00,4.43,0.47,42.52
05:00,4.87,0.48,39.88
06:00,5.04,0.55,50.4
07:00,5.04,0.48,42.86
08:00,4.75,0.49,44.48
09:00,11.66,0.98,38.03
10:00,9.97,1.89,42.87
11:00,10.35,3.2,40.64
12:00,7.89,2.29,35.69
13:00,9.62,3.82,39.81
14:00,11.39,3.25,45.53
15:00,11.19,3.96,39.6
16:00,5.6,3.75,43.03
17:00,0.45,1.52,63.2
18:00,7.21,3.45,47.97
19:00,1.55,2.29,37.6
20:00,2.25,1.9,107.9
20:29,2.28,1.44,184.7
